 "time" "normal population" "cancer population" "cancer proportion"patch_inflammation:0.2
 1 10397 0 0
 2 10397 0 0
 3 10605 4 3.7703836365350174E-4
 4 10608 4 3.769317753486619E-4
 5 10770 6 5.567928730512249E-4
 6 10772 6 5.56689552792726E-4
 7 10947 9 8.214676889375684E-4
 8 10952 9 8.210929659702581E-4
 9 11123 11 9.879647925273936E-4
 10 11130 12 0.0010770059235325794
 11 11293 16 0.0014148023697939695
 12 11305 17 0.0015015015015015015
 13 11458 19 0.0016554848828090965
 14 11478 19 0.0016526050273984517
 15 11617 24 0.002061678549952753
 16 11636 26 0.0022294632138569713
 17 11775 30 0.0025412960609911056
 18 11798 30 0.002536354413256679
 19 11960 33 0.0027516051029767364
 20 11990 34 0.0028276779773785763
 21 12117 40 0.0032902854322612485
 22 12145 40 0.003282724661469019
 23 12302 42 0.0034024627349319506
 24 12334 45 0.0036351886258986993
 25 12459 47 0.0037581960658883734
 26 12499 48 0.0038256156850243086
 27 12625 53 0.004180470105694905
 28 12671 53 0.004165356806035838
 29 12793 56 0.004358315822242976
 30 12831 57 0.004422718808193668
 31 12957 60 0.00460935699469924
 32 12989 60 0.004598053490688941
 33 13103 65 0.004936208991494532
 34 13140 65 0.004922377887163953
 35 13264 67 0.00502587952891756
 36 13290 67 0.005016096428838811
 37 13385 71 0.005276456599286564
 38 13431 71 0.00525848022515183
 39 13517 75 0.00551795173631548
 40 13559 76 0.0055738907224055735
 41 13647 78 0.0056830601092896175
 42 13685 78 0.0056673690329143355
 43 13783 82 0.005914172376487559
 44 13824 83 0.005968217444452434
 45 13902 85 0.0060770715664545645
 46 13943 89 0.0063426453819840365
 47 14036 92 0.0065118912797281995
 48 14065 92 0.006498551953097407
 49 14137 92 0.006465668704757889
 50 14174 92 0.006448899481284172
 51 14252 94 0.006552349086853478
 52 14290 95 0.006604101494612443
 53 14379 100 0.006906554320049727
 54 14420 102 0.007023825919294863
 55 14517 106 0.007248854544211174
 56 14544 107 0.007303255750460719
 57 14618 112 0.007603530210454854
 58 14657 113 0.007650643195666892
 59 14741 119 0.00800807537012113
 60 14773 119 0.007990867579908675
 61 14866 121 0.008073663841996396
 62 14903 123 0.008185811260481832
 63 14975 126 0.008343818290179458
 64 15003 130 0.0085904975880526
