 "time" "normal population" "cancer population" "cancer proportion"patch_inflammation:0.3
 1 10398 0 0
 2 10398 0 0
 3 10579 4 3.779646603042616E-4
 4 10581 4 3.778932451582428E-4
 5 10731 6 5.588153115395362E-4
 6 10736 6 5.585552038726494E-4
 7 10899 8 7.334739158338682E-4
 8 10909 8 7.328020518457452E-4
 9 11089 9 8.109569291764282E-4
 10 11108 9 8.095709274084735E-4
 11 11281 12 0.0010626051536349952
 12 11300 14 0.001237404984974368
 13 11473 22 0.0019138755980861245
 14 11490 24 0.0020844189682126106
 15 11679 32 0.002732473742635129
 16 11704 32 0.0027266530334014998
 17 11858 39 0.0032781373455492984
 18 11877 40 0.003356549467147772
 19 12044 41 0.003392635498551924
 20 12070 42 0.0034676354029062086
 21 12243 48 0.003905296558457408
 22 12267 49 0.003978564468983436
 23 12453 49 0.003919372900335946
 24 12487 51 0.004067634391449992
 25 12678 54 0.004241281809613572
 26 12707 54 0.004231643288143562
 27 12872 58 0.00448569218870843
 28 12894 60 0.004631773969430292
 29 13063 69 0.005254340542187024
 30 13090 71 0.005394726844464706
 31 13256 75 0.005625984547295777
 32 13279 76 0.005690752527143392
 33 13435 78 0.005772219344335085
 34 13459 78 0.005761985668907439
 35 13643 81 0.005902069367531332
 36 13669 83 0.006035485747527632
 37 13804 86 0.00619150467962563
 38 13835 89 0.0063918414248779086
 39 13999 94 0.006669978003264031
 40 14021 96 0.006800311680952044
 41 14169 102 0.007147361782636115
 42 14197 105 0.0073416305411830515
 43 14349 112 0.0077449692275776225
 44 14378 118 0.008140176600441501
 45 14552 123 0.00838160136286201
 46 14583 127 0.008633582596872875
 47 14743 133 0.008940575423500942
 48 14772 136 0.009122618728199625
 49 14938 145 0.00961347212093085
 50 14976 148 0.009785770960063476
 51 15126 154 0.010078534031413613
 52 15155 155 0.010124101894186806
 53 15347 156 0.010062568535122234
 54 15398 158 0.010156852661352533
 55 15588 166 0.010537006474546147
 56 15632 171 0.010820730241093464
 57 15853 174 0.010856679353590816
 58 15898 176 0.01094935921363693
 59 16088 180 0.011064666830587657
 60 16147 181 0.011085252327290544
 61 16346 189 0.011430299364983368
 62 16411 193 0.011623705131293665
 63 16624 200 0.011887779362815026
 64 16693 206 0.01219007041836795
 65 16907 209 0.012210796915167094
 66 17001 213 0.01237364935517602
 67 17211 220 0.012621192128965637
 68 17287 225 0.012848332571950663
 69 17501 230 0.0129716316056624
 70 17590 235 0.013183730715287518
 71 17807 244 0.013517256661680794
 72 17897 247 0.01361331569664903
 73 18094 252 0.013735964242886733
 74 18201 256 0.013870076393780137
 75 18394 267 0.014307914902738332
 76 18499 270 0.014385422771591454
 77 18697 275 0.014495045329959941
 78 18790 279 0.014631076616497981
 79 18994 281 0.01457846952010376
 80 19090 284 0.014658821100443893
 81 19267 290 0.014828450171294166
 82 19359 296 0.015059781226151106
 83 19536 307 0.015471450889482437
 84 19631 312 0.0156445870731585
 85 19818 318 0.015792610250297975
 86 19902 321 0.015873015873015872
 87 20076 327 0.016027054844875755
 88 20164 333 0.016246279943406352
 89 20301 341 0.016519717081678133
 90 20384 346 0.01669078630004824
 91 20520 349 0.01672336959125976
 92 20589 354 0.01690302248961467
 93 20761 361 0.017091184546917906
 94 20849 367 0.017298265460030167
 95 21003 375 0.017541397698568623
 96 21071 381 0.017760581763938094
 97 21190 383 0.017753673573448293
 98 21264 385 0.01778373135017784
 99 21406 388 0.01780306506377902
 100 21477 390 0.017835093977225956
 101 21599 395 0.017959443484586706
 102 21673 399 0.018077201884740848
 103 21779 405 0.018256401009736748
 104 21860 409 0.018366338856706632
 105 21953 413 0.018465528033622464
 106 22023 414 0.018451664661050943
 107 22099 417 0.018520163439332032
 108 22159 420 0.018601355241596174
 109 22240 422 0.018621480893125056
 110 22294 425 0.018706809278577402
 111 22381 429 0.018807540552389302
 112 22438 437 0.01910382513661202
 113 22506 441 0.01921819845731468
 114 22559 443 0.019259194852621512
 115 22621 444 0.019249945805332756
 116 22659 449 0.01943050025965034
 117 22727 454 0.019585004960959405
 118 22788 461 0.019828809841283497
 119 22848 468 0.02007205352547607
 120 22893 474 0.02028501733213506
 121 22958 478 0.020395972008875236
 122 23013 479 0.020389919972756684
 123 23073 484 0.020545909920618076
 124 23121 490 0.020753038837829824
 125 23190 496 0.02094064004053027
 126 23238 502 0.02114574557708509
 127 23300 508 0.021337365591397848
 128 23348 510 0.02137647749182664
 129 23396 515 0.021538204173811217
 130 23471 520 0.021674794714684673
 131 23522 527 0.02191359308079338
 132 23571 530 0.021990788763951705
 133 23623 535 0.022145873002732016
 134 23646 544 0.022488631665977678
 135 23700 551 0.02272071254793617
 136 23736 554 0.022807739810621654
 137 23794 558 0.022913929040735873
 138 23821 561 0.023008776966614717
 139 23873 565 0.023119731565594565
 140 23907 567 0.023167443000735474
 141 23955 571 0.023281415640544728
 142 23991 571 0.023247292565751976
 143 24025 575 0.023373983739837397
 144 24063 576 0.023377572141726533
 145 24101 580 0.023499858190510918
 146 24135 589 0.023823005986086394
 147 24189 594 0.023968042609853527
