 "time" "normal population" "cancer population" "cancer proportion"patch_inflammation:0
 283 10091 85 0.008352987421383648
 284 10092 85 0.00835216665028987
 285 10091 86 0.008450427434410927
 286 10088 88 0.008647798742138365
 287 10086 89 0.008746928746928747
 288 10085 90 0.008845208845208846
 289 10078 90 0.00885129819040126
 290 10078 91 0.008948765857016422
 291 10067 91 0.008958456389052964
 292 10063 92 0.009059576563269325
 293 10053 92 0.009068506653523904
 294 10051 93 0.009167981072555205
 295 10049 93 0.009169788996253205
 296 10052 93 0.009167077378018728
 297 10051 93 0.009167981072555205
 298 10054 93 0.009165270523307381
 299 10046 93 0.009172502219153762
 300 10048 93 0.009170693225520166
 301 10043 94 0.009272960441945349
 302 10047 94 0.009269302830095652
 303 10040 94 0.009275705545687784
 304 10037 94 0.009278452275194946
 305 10027 94 0.00928761980041498
 306 10021 94 0.009293129016312407
 307 10011 95 0.009400356224025332
 308 10019 95 0.009392920703974688
 309 10013 95 0.009398496240601503
 310 10012 95 0.009399426140298803
 311 10005 95 0.009405940594059406
 312 10004 95 0.009406871967521538
 313 9992 96 0.00951625693893735
 314 9997 96 0.009511542653324085
 315 9991 96 0.009517200356895014
 316 9997 96 0.009511542653324085
 317 9993 97 0.009613478691774034
 318 9995 97 0.009611573523583036
 319 9985 97 0.009621106923229518
 320 9989 99 0.009813639968279143
 321 9985 100 0.00991571641051066
 322 9987 100 0.00991375037176564
 323 9986 100 0.009914733293674401
 324 9997 100 0.009903931860948796
 325 9989 101 0.010009910802775026
 326 9996 102 0.010101010101010102
 327 9992 103 0.01020307082714215
 328 9988 105 0.01040324977707322
 329 9985 105 0.010406342913776016
 330 9995 105 0.010396039603960397
 331 9988 105 0.01040324977707322
 332 9994 105 0.01039706901673433
 333 9991 105 0.010400158478605388
 334 9997 105 0.010393981389823797
 335 9990 105 0.010401188707280832
 336 9994 105 0.01039706901673433
 337 9993 105 0.010398098633392751
 338 9998 106 0.01049089469517023
 339 9992 108 0.010693069306930694
 340 9997 109 0.010785671878092222
 341 9989 110 0.010892167541340727
 342 9990 110 0.01089108910891089
 343 9993 110 0.010887855092546769
 344 9994 110 0.010886777513855899
 345 9985 110 0.010896483407627538
 346 9987 110 0.010894325047043676
 347 9982 110 0.010899722552516845
 348 9986 111 0.010993364365653164
 349 9978 111 0.011002081474873625
 350 9980 111 0.010999900901793678
 351 9977 111 0.011003172085646313
 352 9986 111 0.010993364365653164
 353 9987 111 0.010992275698158051
 354 9989 111 0.01099009900990099
 355 9992 111 0.010986835593388103
 356 10002 112 0.01107375914573858
 357 9997 113 0.011177052423343225
 358 10003 114 0.011268162498764455
 359 10003 114 0.011268162498764455
 360 10005 114 0.011265935369107619
 361 10014 114 0.011255924170616114
 362 10024 114 0.011244821463799567
 363 10020 114 0.011249259917110717
 364 10023 114 0.011245930748742231
 365 10025 115 0.011341222879684419
 366 10025 115 0.011341222879684419
 367 10022 115 0.011344579264082076
 368 10026 115 0.01134010452618085
 369 10016 115 0.011351297996249137
 370 10022 115 0.011344579264082076
 371 10019 115 0.011347937635681864
 372 10029 116 0.011434204041399705
 373 10025 116 0.011438714130756335
 374 10031 117 0.011529365392195507
 375 10028 118 0.011630199093238714
 376 10035 118 0.011622180636265144
 377 10031 119 0.011724137931034483
 378 10033 121 0.01191648611384676
 379 10037 122 0.012009056009449749
 380 10041 122 0.012004329430286332
 381 10037 122 0.012009056009449749
 382 10046 123 0.012095584619923296
 383 10042 123 0.012100344318740778
 384 10046 124 0.012192723697148475
 385 10049 124 0.012189128084144303
 386 10054 126 0.01237721021611002
 387 10054 127 0.012474216678125922
 388 10058 127 0.0124693176239568
 389 10057 127 0.012470542026708562
 390 10063 127 0.012463199214916586
 391 10057 127 0.012470542026708562
 392 10057 127 0.012470542026708562
 393 10060 128 0.012563800549666274
 394 10067 128 0.01255517410495341
 395 10069 128 0.012552711581837796
 396 10076 128 0.012544100352802822
 397 10076 129 0.012640862322390985
 398 10077 129 0.012639623750734862
 399 10079 129 0.012637147335423198
 400 10086 129 0.01262848751835536
 401 10083 129 0.01263219741480611
 402 10090 129 0.01262354437811919
 403 10092 130 0.012717667775386422
 404 10096 130 0.012712693135145708
 405 10093 131 0.012812989045383411
 406 10097 131 0.012807978099335158
 407 10095 131 0.012810483082339135
 408 10104 131 0.012799218368343917
 409 10108 132 0.012890625
 410 10114 132 0.012883076322467305
 411 10114 132 0.012883076322467305
 412 10117 132 0.012879305298077862
