 "time" "normal population" "cancer population" "cancer proportion"patch_inflammation:0
 1 10397 0 0
 2 10397 0 0
 3 10570 3 2.837416059774898E-4
 4 10571 3 2.8371477208246644E-4
 5 10730 5 4.657661853749418E-4
 6 10732 5 4.656794262829468E-4
 7 10871 8 7.35361706039158E-4
 8 10876 8 7.35023888276369E-4
 9 10995 11 9.99454842813011E-4
 10 11004 12 0.0010893246187363835
 11 11140 13 0.0011656056666367793
 12 11152 13 0.0011643528884908196
 13 11257 14 0.001242125809599858
 14 11271 14 0.0012405848471422243
 15 11341 14 0.0012329370321444298
 16 11352 15 0.0013196093956188968
 17 11425 17 0.001485754238769446
 18 11437 18 0.001571366215626364
 19 11473 19 0.0016533240515140967
 20 11490 20 0.0017376194613379669
 21 11518 21 0.0018199150706300373
 22 11536 22 0.0019034435023360444
 23 11543 22 0.0019022913964548205
 24 11560 22 0.001899499222932136
 25 11563 22 0.0018990073370738023
 26 11573 22 0.0018973695558430358
 27 11570 23 0.0019839558354179244
 28 11580 24 0.002068252326783868
 29 11575 24 0.002069143891714803
 30 11586 25 0.0021531306519679615
 31 11584 25 0.002153501593591179
 32 11593 26 0.002237714088992168
 33 11588 26 0.002238677458240055
 34 11592 27 0.0023237800154918666
 35 11592 27 0.0023237800154918666
 36 11602 27 0.0023217817525152634
 37 11594 27 0.0023233800877721367
 38 11604 28 0.002407152682255846
 39 11605 28 0.002406945757758102
 40 11612 28 0.0024054982817869417
 41 11602 28 0.002407566638005159
 42 11616 28 0.0024046719340432843
 43 11609 28 0.002406118415399158
 44 11618 28 0.002404258973037953
 45 11611 28 0.002405704957470573
 46 11620 29 0.002489484075886342
 47 11616 29 0.0024903392013739803
 48 11630 29 0.002487348829230637
 49 11623 29 0.0024888431170614488
 50 11628 29 0.0024877755854851163
 51 11626 29 0.002488202488202488
 52 11631 29 0.0024871355060034307
 53 11625 29 0.0024884159945083232
 54 11632 29 0.0024869222193636908
 55 11621 29 0.0024892703862660942
 56 11624 29 0.0024886295374581652
 57 11618 29 0.0024899115652099253
 58 11622 29 0.002489056733327611
 59 11614 29 0.0024907669844541785
 60 11616 29 0.0024903392013739803
 61 11613 29 0.002490980931111493
 62 11621 30 0.0025748862758561497
 63 11615 30 0.0025762129669386004
 64 11617 30 0.002575770584699923
