 "time" "normal population" "cancer population" "cancer proportion"patch_inflammation:0.4
 1 10388 0 0
 2 10388 0 0
 3 10557 7 6.626277925028399E-4
 4 10561 7 6.623769871309614E-4
 5 10736 9 8.375988832014891E-4
 6 10742 9 8.371314296344527E-4
 7 10912 12 0.0010984987184181618
 8 10927 12 0.0010969924124691471
 9 11084 14 0.001261488556496666
 10 11102 16 0.0014391077531930203
 11 11275 17 0.0015054906128232376
 12 11290 18 0.0015917934205871948
 13 11466 20 0.0017412502176562773
 14 11485 20 0.001738374619730552
 15 11686 25 0.0021347451114336947
 16 11706 25 0.002131105617594408
 17 11893 30 0.0025161452654533256
 18 11911 30 0.0025123523992965414
 19 12085 34 0.0028055120059410845
 20 12104 34 0.0028011204481792717
 21 12291 38 0.0030821640035688215
 22 12316 39 0.0031566167543504654
 23 12481 42 0.003353828954723309
 24 12503 42 0.0033479473893981665
 25 12702 47 0.0036865636520511413
 26 12716 47 0.003682519783749902
 27 12900 51 0.0039379198517488995
 28 12917 56 0.004316657673629847
 29 13108 59 0.004480899217741323
 30 13126 61 0.00462576780162281
 31 13302 67 0.005011593986087217
 32 13314 71 0.005304445274561076
 33 13508 74 0.005448387571786188
 34 13530 74 0.005439576595119082
 35 13707 79 0.0057304511823589145
 36 13729 79 0.005721320973348784
 37 13905 88 0.006288858715071822
 38 13928 91 0.0064911905271417365
 39 14126 97 0.006819939534556704
 40 14144 101 0.00709020709020709
 41 14323 105 0.007277515941225395
 42 14352 110 0.007606140229567141
 43 14522 119 0.008127860118844341
 44 14547 122 0.008316858681573386
 45 14734 126 0.008479138627187079
 46 14755 130 0.008733624454148471
 47 14942 134 0.00888829928362961
 48 14963 137 0.009072847682119205
 49 15149 139 0.009092098377812663
 50 15165 144 0.00940623162845385
 51 15348 146 0.009423002452562283
 52 15369 149 0.009601752803196289
 53 15694 155 0.009779796832607735
 54 15725 157 0.009885404860848759
 55 16105 163 0.010019670518809934
 56 16150 169 0.010356026717323365
 57 16543 181 0.010822769672327195
 58 16605 186 0.011077362872967662
 59 16994 193 0.011229417583056962
 60 17058 199 0.011531552413513358
 61 17506 209 0.011797911374541349
 62 17565 216 0.012147798211574152
 63 17977 229 0.012578270899703394
 64 18069 235 0.012838723776223776
 65 18534 245 0.013046488098407796
 66 18605 251 0.01331141281289775
 67 19047 263 0.013619886069394096
 68 19112 269 0.013879572777462464
 69 19528 281 0.014185471250441718
 70 19610 284 0.014275661003317583
 71 20014 303 0.014913619136683565
 72 20080 307 0.015058615784568598
 73 20472 320 0.015390534821085032
 74 20544 325 0.015573338444582875
 75 20913 340 0.015997741495318307
 76 20976 347 0.016273507480185714
 77 21378 360 0.016560861164780567
 78 21453 369 0.01690954083035469
 79 21833 382 0.01719558856628404
 80 21891 390 0.017503702706341728
 81 22219 404 0.01785793219290103
 82 22271 413 0.018206665491095043
 83 22632 426 0.018475149622690607
 84 22686 431 0.018644287753601246
 85 23052 448 0.019063829787234043
 86 23105 455 0.01931239388794567
 87 23445 468 0.01957094467444486
 88 23523 473 0.019711618603100518
 89 23844 487 0.020015617935966463
 90 23903 494 0.020248391195638808
 91 24213 500 0.020232266418484197
 92 24271 505 0.020382628350016144
 93 24541 510 0.020358468723803442
 94 24587 520 0.02071135539889274
 95 24875 525 0.02066929133858268
 96 24935 526 0.020659047170181848
 97 25195 532 0.02067866443813892
 98 25270 538 0.020846249225046496
 99 25541 544 0.020854897450642132
 100 25605 555 0.02121559633027523
 101 25824 568 0.021521673234313428
 102 25888 571 0.021580558600098266
 103 26035 584 0.021939216349224237
 104 26084 591 0.022155576382380505
 105 26242 599 0.022316605193547185
 106 26278 610 0.022686700386789646
 107 26412 614 0.02271886331680604
 108 26455 622 0.02297152564907486
 109 26597 625 0.022959371096906912
 110 26630 629 0.02307494772368759
 111 26763 641 0.023390745876514376
 112 26794 653 0.023791306882355083
 113 26937 657 0.023809523809523808
 114 26987 665 0.0240488933892666
 115 27110 674 0.02425856608119781
 116 27156 679 0.024393748877312736
 117 27300 689 0.024616813748258245
 118 27336 694 0.024759186585800928
 119 27445 702 0.024940490993711584
 120 27483 705 0.02501064282673478
 121 27615 711 0.025100614276636304
 122 27654 717 0.025272285079835043
 123 27768 729 0.02558164017264975
 124 27799 734 0.025724599586443766
 125 27889 740 0.025847916448356562
 126 27928 747 0.026050566695727986
 127 28018 755 0.02623987766308692
 128 28048 762 0.026449149600833045
 129 28161 764 0.02641313742437338
 130 28192 768 0.026519337016574586
 131 28279 772 0.026573956146087915
 132 28319 779 0.02677159942264073
 133 28407 782 0.026790914385556204
 134 28426 784 0.026840123245463882
 135 28528 789 0.02691271276051438
 136 28557 797 0.0271513252026981
 137 28626 804 0.0273190621814475
 138 28658 810 0.027487444007058503
 139 28738 813 0.027511759331325505
 140 28759 823 0.027820972212832126
 141 28830 826 0.027852711087132453
 142 28853 831 0.027994879396307775
 143 28917 837 0.028130671506352088
 144 28945 842 0.028267364957867525
 145 29026 850 0.028450930512786184
 146 29048 857 0.028657415147968567
 147 29119 865 0.02884871931696905
 148 29149 876 0.029175686927560368
 149 29212 878 0.029179129278830176
 150 29239 886 0.02941078838174274
 151 29302 889 0.029445861349408763
 152 29325 894 0.02958403653330686
 153 29388 901 0.029746772755785928
 154 29407 903 0.02979214780600462
 155 29462 911 0.029993744444078624
 156 29479 916 0.030136535614410265
 157 29534 922 0.03027318098240084
 158 29551 924 0.030319934372436422
 159 29605 927 0.030361587842263855
 160 29624 932 0.030501374525461446
 161 29672 942 0.030770235839811852
 162 29695 942 0.03074713581616999
 163 29753 948 0.030878473013908343
 164 29775 950 0.030919446704637917
 165 29826 954 0.030994152046783626
 166 29845 958 0.03110086679868844
 167 29891 960 0.03111730575994295
 168 29908 962 0.031162941367023
 169 29961 968 0.031297487794626405
