 "time" "normal population" "cancer population" "cancer proportion"patch_inflammation:0
 1 10386 0 0
 2 10386 0 0
 3 10558 6 5.679666792881485E-4
 4 10560 7 6.624396706728494E-4
 5 10737 10 9.304922303898762E-4
 6 10742 11 0.001022970333860318
 7 10900 11 0.0010081569058748051
 8 10908 11 0.001007418261745581
 9 11026 12 0.0010871534698314912
 10 11031 13 0.0011771097428467947
 11 11140 16 0.0014342058085335247
 12 11154 16 0.001432408236347359
 13 11258 17 0.001507760532150776
 14 11270 18 0.0015946137491141034
 15 11346 19 0.0016717993840739112
 16 11365 19 0.0016690091356289529
 17 11419 19 0.0016611295681063123
 18 11438 19 0.001658374792703151
 19 11472 21 0.0018271991647089533
 20 11490 21 0.0018243419338024498
 21 11507 22 0.0019082314164281377
 22 11522 22 0.0019057519057519058
 23 11533 22 0.0019039376893119863
 24 11548 23 0.001987727940541008
 25 11552 23 0.0019870410367170627
 26 11565 23 0.001984811874352779
 27 11572 23 0.0019836136265631737
 28 11587 23 0.0019810508182601205
 29 11588 23 0.0019808801998105244
 30 11606 24 0.002063628546861565
 31 11603 24 0.0020641610045583555
 32 11613 24 0.0020623872131992783
 33 11606 24 0.002063628546861565
 34 11617 25 0.0021473973544064596
 35 11614 25 0.00214795085488444
 36 11625 25 0.002145922746781116
 37 11619 25 0.0021470285125386466
 38 11625 25 0.002145922746781116
 39 11615 25 0.002147766323024055
 40 11626 25 0.002145738563213458
 41 11622 25 0.0021464754872499354
 42 11627 25 0.0021455544112598695
 43 11622 25 0.0021464754872499354
 44 11626 25 0.002145738563213458
 45 11621 25 0.002146659797355315
 46 11629 26 0.0022308022308022307
 47 11623 26 0.002231951240449824
 48 11637 26 0.0022292720569321786
 49 11628 26 0.0022309936502488414
 50 11641 27 0.002314021254713747
 51 11635 27 0.0023152117990053165
 52 11640 27 0.0023142195937258937
 53 11633 27 0.0023156089193825044
 54 11645 27 0.002313228238519534
 55 11643 27 0.002313624678663239
 56 11648 27 0.0023126338329764453
 57 11641 27 0.002314021254713747
 58 11648 27 0.0023126338329764453
 59 11643 27 0.002313624678663239
 60 11648 27 0.0023126338329764453
 61 11635 27 0.0023152117990053165
