 "time" "normal population" "cancer population" "cancer proportion"patch_inflammation:0.2
 1 10391 0 0
 2 10391 0 0
 3 10597 2 1.8869704689121616E-4
 4 10599 2 1.8866144703329874E-4
 5 10755 4 3.717817641044707E-4
 6 10764 4 3.714710252600297E-4
 7 10942 9 8.218427540863848E-4
 8 10948 9 8.213927169845761E-4
 9 11112 12 0.0010787486515641855
 10 11121 12 0.0010778765831312314
 11 11269 16 0.0014178112538768277
 12 11280 17 0.0015048242896344162
 13 11429 19 0.0016596785464709992
 14 11462 19 0.0016549081090497344
 15 11615 25 0.002147766323024055
 16 11637 26 0.0022292720569321786
 17 11794 28 0.0023684655726611404
 18 11825 28 0.002362271154981861
 19 11951 30 0.002503964610633503
 20 11981 30 0.002497710432103905
 21 12113 34 0.002799045031695069
 22 12137 34 0.0027935255936241887
 23 12290 38 0.003082414016872161
 24 12330 39 0.0031530439000727628
 25 12462 42 0.0033589251439539347
 26 12491 42 0.0033511529561956435
 27 12591 49 0.0038765822784810125
 28 12634 49 0.003863439249388946
 29 12749 49 0.0038287232380059383
 30 12781 51 0.003974438902743142
 31 12908 54 0.00416602376176516
 32 12935 56 0.004310676622276961
 33 13054 57 0.004347494470292121
 34 13082 59 0.004489764858077772
 35 13200 64 0.0048250904704463205
 36 13240 64 0.004810583283223091
 37 13338 71 0.005294951152211201
 38 13382 72 0.005351568306823249
 39 13495 74 0.005453607487655686
 40 13531 74 0.005439176773245131
 41 13636 79 0.005760116660590594
 42 13670 79 0.005745872427085606
 43 13775 83 0.005989320248232068
 44 13813 86 0.006187495503273617
 45 13905 87 0.006217838765008576
 46 13945 89 0.006341741484965085
 47 14047 90 0.006366272900898352
 48 14084 93 0.006559920998800875
 49 14186 94 0.0065826330532212885
 50 14210 95 0.006641034603285564
 51 14303 96 0.006667129661782068
 52 14341 97 0.006718382047374983
 53 14442 103 0.007081471295978
 54 14478 105 0.00720016457519029
 55 14560 106 0.007227601254602482
 56 14596 108 0.0073449401523395
 57 14688 111 0.0075005067909993915
 58 14735 112 0.007543611504007544
 59 14804 118 0.007907787159898138
 60 14839 120 0.008021926599371615
 61 14911 120 0.00798350076508549
 62 14944 121 0.008031861931629605
 63 15031 121 0.007985744456177403
 64 15061 124 0.008165953243332236
 65 15119 124 0.008134881584989831
 66 15167 129 0.008433577405857741
 67 15233 132 0.008590953465668728
 68 15265 135 0.008766233766233766
 69 15337 140 0.009045680687471733
 70 15383 141 0.00908271064158722
 71 15442 143 0.009175489252486365
 72 15480 147 0.009406795930120945
 73 15553 150 0.009552314844297269
 74 15593 154 0.009779640566457103
 75 15676 156 0.009853461344113188
 76 15711 158 0.009956518999306824
 77 15780 159 0.00997553171466215
 78 15821 162 0.01013576925483326
 79 15905 165 0.010267579340385812
 80 15952 167 0.010360444196290092
 81 16028 171 0.010556207173282301
 82 16078 173 0.010645498738539167
 83 16144 176 0.010784313725490196
 84 16198 178 0.010869565217391304
 85 16273 181 0.011000364652971922
 86 16302 183 0.011101000909918108
 87 16367 184 0.01111715304211226
 88 16420 185 0.011141222523336344
 89 16484 190 0.01139498620606933
 90 16525 194 0.011603564806507566
 91 16598 196 0.011670834821960224
 92 16639 198 0.011759814693829067
 93 16706 198 0.01171320397539044
 94 16751 200 0.01179871394018052
 95 16828 203 0.011919441019317715
 96 16863 205 0.012010780407780643
 97 16930 209 0.012194410409008694
 98 16978 209 0.012160353755745621
 99 17050 210 0.01216685979142526
 100 17111 211 0.012181041450178964
 101 17161 216 0.01243022385912413
 102 17204 217 0.012456230985592101
 103 17261 219 0.012528604118993135
 104 17305 223 0.012722501141031493
 105 17373 223 0.012673334848829279
 106 17413 226 0.012812517716423834
 107 17478 230 0.012988479783148859
 108 17523 236 0.013289036544850499
 109 17588 239 0.013406630392101868
 110 17637 243 0.013590604026845638
 111 17698 248 0.013819235484230469
 112 17744 251 0.013948318977493749
 113 17798 255 0.014125076164626377
 114 17831 258 0.014262811653491072
 115 17897 259 0.014265256664463538
 116 17943 260 0.014283359885733121
 117 18006 261 0.014288060436853342
 118 18044 263 0.014366089473971704
 119 18104 268 0.014587415632484215
 120 18142 270 0.014664349337388659
 121 18203 273 0.014775925525005413
 122 18235 274 0.014803609055054298
 123 18298 276 0.014859480994939162
 124 18339 277 0.014879673399226473
 125 18391 280 0.014996518665309839
 126 18428 286 0.015282676071390403
 127 18470 287 0.015300954310390788
 128 18507 292 0.015532741103250173
 129 18557 292 0.015491538012626664
 130 18595 293 0.015512494705633206
 131 18643 297 0.015681098204857444
 132 18686 298 0.015697429414243572
 133 18724 298 0.015666070865313846
 134 18758 302 0.01584470094438615
 135 18800 305 0.01596440722323999
 136 18833 307 0.016039707419017765
 137 18881 312 0.016255926639920804
 138 18913 314 0.016331200915379415
 139 18956 317 0.01644788045452187
 140 18978 317 0.016429126716766003
 141 19023 322 0.016645127940036183
 142 19046 324 0.016726897263810016
 143 19098 325 0.01673273953560212
 144 19132 329 0.0169056060839628
 145 19173 330 0.01692047377326565
 146 19210 331 0.01693874417890589
 147 19259 334 0.01704690450671158
 148 19281 338 0.017228197155818338
 149 19324 341 0.01734045258072718
 150 19354 341 0.017314039096217315
 151 19404 343 0.017369727047146403
 152 19437 343 0.017340748230535896
 153 19479 348 0.017551823271296715
 154 19505 350 0.017627801561319566
 155 19539 352 0.017696445628676286
 156 19562 353 0.01772533266382124
 157 19612 354 0.017730141240108185
 158 19639 356 0.017804451112778195
 159 19690 359 0.017906129981545213
 160 19711 362 0.018034175260299906
 161 19752 365 0.018143858428195058
 162 19785 367 0.018211591901548235
 163 19818 370 0.018327719437289478
 164 19844 370 0.01830414564163451
 165 19881 372 0.018367649237150053
 166 19899 373 0.018399763220205208
