 "time" "normal population" "cancer population" "cancer proportion"patch_inflammation:0.3
 1 10395 0 0
 2 10395 0 0
 3 10550 2 1.8953752843062926E-4
 4 10556 2 1.8942981625307822E-4
 5 10735 5 4.655493482309125E-4
 6 10736 5 4.6550600502746485E-4
 7 10924 8 7.317965605561653E-4
 8 10929 8 7.314620096918717E-4
 9 11113 13 0.0011684342980406255
 10 11131 13 0.0011665470208183776
 11 11290 14 0.0012384996461429583
 12 11313 14 0.0012359848150437008
 13 11497 19 0.0016498784300104203
 14 11514 19 0.0016474464579901153
 15 11706 21 0.0017907393195190585
 16 11732 21 0.001786777843954735
 17 11917 26 0.0021770074520639704
 18 11942 26 0.0021724598930481284
 19 12114 30 0.0024703557312252965
 20 12132 30 0.00246669955599408
 21 12316 32 0.0025915127955944283
 22 12343 36 0.0029081509007189595
 23 12510 44 0.0035048590090807712
 24 12531 45 0.00357824427480916
 25 12687 49 0.0038473618090452263
 26 12714 49 0.0038392227532711744
 27 12884 55 0.004250714892959271
 28 12914 56 0.004317656129529684
 29 13074 58 0.0044166920499543105
 30 13098 59 0.004484304932735426
 31 13274 60 0.004499775011249437
 32 13300 64 0.004788985333732416
 33 13452 65 0.004808759340090256
 34 13481 68 0.005018820577164366
 35 13622 73 0.005330412559328222
 36 13652 74 0.0053912283258050414
 37 13821 80 0.005754981655995971
 38 13859 81 0.005810616929698709
 39 14002 85 0.006033931994037055
 40 14033 88 0.00623185326818214
 41 14194 95 0.006648470851704108
 42 14223 97 0.006773743016759776
 43 14387 100 0.00690274038793401
 44 14420 108 0.007433920704845815
 45 14585 113 0.0076881208327663625
 46 14610 115 0.007809847198641765
 47 14774 120 0.00805693567879683
 48 14805 121 0.008106659520300147
 49 14954 126 0.008355437665782494
 50 14978 133 0.008801535305406658
 51 15125 136 0.008911604744118996
 52 15157 140 0.00915212133097993
 53 15323 146 0.009438231301312302
 54 15367 150 0.009666817039376168
 55 15558 154 0.00980142566191446
 56 15612 155 0.009830658971269106
 57 15797 161 0.010088983581902494
 58 15864 164 0.010232093835787373
 59 16072 169 0.01040576319192168
 60 16135 171 0.010486937323684534
 61 16347 177 0.010711692084241104
 62 16441 182 0.010948685556157132
 63 16626 186 0.011063526052819414
 64 16720 190 0.011235955056179775
 65 16937 193 0.011266783420899007
 66 16998 196 0.011399325346050948
 67 17219 204 0.011708660965390576
 68 17312 208 0.011872146118721462
 69 17512 214 0.012072661626988604
 70 17606 218 0.012230700179533214
 71 17834 226 0.012513842746400886
 72 17914 229 0.012621947858678277
 73 18094 237 0.012928918225956031
 74 18179 241 0.013083604777415853
 75 18404 250 0.013401951324112791
 76 18498 258 0.013755598208573257
 77 18680 262 0.013831696758526028
 78 18775 267 0.014021636382732907
 79 18947 277 0.014409071993341656
 80 19036 284 0.014699792960662527
 81 19216 291 0.014917721843440816
 82 19300 295 0.015054860933911712
 83 19464 299 0.015129281991600466
 84 19556 304 0.015307150050352467
 85 19726 311 0.01552128562160004
 86 19836 314 0.015583126550868487
 87 20010 320 0.01574028529267093
 88 20093 325 0.015917327847977274
 89 20264 333 0.016167403019857262
 90 20354 336 0.01623972933784437
 91 20528 344 0.016481410502108086
 92 20613 350 0.01669608357582407
 93 20755 357 0.016909814323607428
 94 20830 368 0.017360128313991887
 95 20965 374 0.01752659449833638
 96 21056 375 0.01749801689141897
 97 21199 380 0.017609713147041104
 98 21270 387 0.017869511012605623
 99 21415 392 0.017975879304810382
 100 21499 399 0.018220842086035253
 101 21608 402 0.018264425261244888
 102 21689 404 0.01828633503824741
 103 21782 411 0.018519352949128102
 104 21852 416 0.018681516076881625
 105 21944 419 0.01873630550462818
 106 22014 421 0.018765322041453085
 107 22095 422 0.018741395390149664
 108 22159 427 0.018905516691755955
 109 22240 434 0.01914086619035018
 110 22301 442 0.01943455129050697
 111 22394 445 0.019484215596129426
 112 22451 447 0.01952135557690628
 113 22523 449 0.019545533693191713
 114 22595 451 0.01956955653909572
 115 22666 455 0.019679079624583713
 116 22711 458 0.01976779317191074
 117 22792 466 0.020036116605039126
 118 22826 469 0.020133075767332045
 119 22902 472 0.02019337725678104
 120 22954 474 0.02023220078538501
 121 23032 476 0.020248426067721627
 122 23094 478 0.020278296283726457
 123 23167 482 0.020381411476172354
 124 23216 484 0.020421940928270044
 125 23282 489 0.02057128433805898
 126 23314 493 0.02070819506867728
 127 23365 500 0.020951183741881416
 128 23408 502 0.02099539941447093
 129 23469 506 0.02110531803962461
 130 23515 513 0.021350091559846844
 131 23573 517 0.021461187214611873
 132 23611 519 0.021508495648570245
 133 23682 522 0.021566683192860685
 134 23729 525 0.021645914076028696
 135 23774 528 0.021726606863632623
 136 23822 531 0.021804295158707347
 137 23877 536 0.021955515504034736
 138 23920 538 0.021996892632267562
 139 23971 542 0.022110716762534167
 140 24011 543 0.022114523091960575
 141 24060 548 0.022269180754226268
 142 24094 548 0.022238454670887104
 143 24140 553 0.022395010731786336
 144 24182 557 0.022515057197138123
 145 24230 560 0.022589753933037516
 146 24255 562 0.02264576701454648
 147 24300 565 0.022722702594007643
 148 24333 568 0.022810328902453717
 149 24378 573 0.02296501142238788
 150 24402 576 0.023060293057890945
 151 24441 583 0.023297634271099744
 152 24483 585 0.02333652465294399
 153 24529 587 0.023371555980251632
 154 24557 591 0.02350087482105933
 155 24603 593 0.02353548182251151
 156 24627 597 0.023667935299714556
 157 24669 599 0.023705873041000476
 158 24699 602 0.023793525947591005
 159 24748 607 0.023940051271938472
 160 24779 611 0.024064592359196533
 161 24818 618 0.024296272998899197
