 "time" "normal population" "cancer population" "cancer proportion"patch_inflammation:0.3
 1 10397 0 0
 2 10397 0 0
 3 10573 5 4.7267914539610514E-4
 4 10575 5 4.725897920604915E-4
 5 10750 6 5.578281889178133E-4
 6 10752 6 5.577244841048522E-4
 7 10935 7 6.397367940047524E-4
 8 10946 7 6.390943120606227E-4
 9 11112 11 9.889418322395038E-4
 10 11127 11 9.876099838391093E-4
 11 11301 14 0.001237295625276182
 12 11322 15 0.0013231013495633766
 13 11505 21 0.0018219677251431546
 14 11524 22 0.0019054217910964837
 15 11680 24 0.002050580997949419
 16 11704 26 0.002216538789428815
 17 11868 30 0.0025214321734745334
 18 11892 30 0.0025163563160543532
 19 12069 34 0.0028092208543336362
 20 12100 34 0.0028020438437448493
 21 12281 37 0.0030037343724630622
 22 12309 39 0.0031584062196307093
 23 12482 41 0.003273975884372754
 24 12506 41 0.00326771339762493
 25 12678 43 0.003380237402719912
 26 12705 43 0.00337307812990273
 27 12879 46 0.0035589941972920696
 28 12919 47 0.003624865031621163
 29 13084 51 0.0038827559954320518
 30 13120 51 0.0038721433452281527
 31 13294 57 0.004269343120365515
 32 13326 58 0.004333532576210401
 33 13470 62 0.004581732190363582
 34 13503 65 0.004790683962264151
 35 13658 70 0.005099067599067599
 36 13693 72 0.0052306574645840905
 37 13853 76 0.005456242372029578
 38 13880 78 0.0055881931508812155
 39 14061 79 0.005586987270155587
 40 14100 81 0.005711867992384176
 41 14264 87 0.006062295310431329
 42 14300 90 0.006254343293954135
 43 14463 95 0.006525621651325732
 44 14489 96 0.0065821049022968805
 45 14637 102 0.006920415224913495
 46 14672 105 0.0071056371387967785
 47 14820 111 0.007434197307615029
 48 14842 112 0.007489634880299585
 49 14987 117 0.007746292372881356
 50 15020 118 0.007794953098163562
 51 15160 124 0.008113059408531798
 52 15200 126 0.008221323241550307
 53 15389 126 0.008121173058330648
 54 15430 131 0.008418482102692628
 55 15622 135 0.008567620739988577
 56 15683 140 0.008847879668836503
 57 15872 143 0.008929128941617234
 58 15939 150 0.009323140033563304
 59 16145 159 0.009752208047105006
 60 16221 161 0.009827859846172628
 61 16448 169 0.010170307516398868
 62 16510 172 0.010310514326819327
 63 16684 176 0.01043890865954923
 64 16760 177 0.010450493003483498
