 "time" "normal population" "cancer population" "cancer proportion"patch_inflammation:0
 1 10398 0 0
 2 10398 0 0
 3 10553 7 6.628787878787879E-4
 4 10556 7 6.626905235255136E-4
 5 10684 14 0.0013086558235184146
 6 10690 14 0.0013079222720478326
 7 10841 22 0.0020252232348338395
 8 10855 22 0.0020226165302932794
 9 10991 28 0.002541065432434885
 10 10999 28 0.0025392219098576223
 11 11107 31 0.002783264499910217
 12 11123 32 0.002868668758404303
 13 11207 35 0.00311332503113325
 14 11221 35 0.003109452736318408
 15 11267 35 0.003096797027074854
 16 11280 35 0.0030932390631904553
 17 11346 35 0.00307530094016343
 18 11365 36 0.0031576177528286993
 19 11401 36 0.0031476785870420566
 20 11411 36 0.0031449288023062813
 21 11429 37 0.0032269317983603697
 22 11444 38 0.003309527956801951
 23 11452 38 0.003307223672758921
 24 11468 38 0.0033026247175386753
 25 11472 38 0.0033014769765421373
 26 11486 38 0.003297466157584172
 27 11485 38 0.0032977523214440686
 28 11498 38 0.003294036061026352
 29 11495 38 0.0032948929159802307
 30 11504 38 0.00329232368740253
 31 11498 38 0.003294036061026352
 32 11505 39 0.0033783783783783786
 33 11507 39 0.0033777931751255846
 34 11520 39 0.003373994290163509
 35 11516 39 0.0033751622674167026
 36 11532 39 0.0033704952035260565
 37 11529 39 0.0033713692946058093
 38 11535 39 0.00336962156557802
 39 11526 39 0.0033722438391699094
 40 11534 39 0.003369912727901149
 41 11528 39 0.003371660759055935
 42 11534 39 0.003369912727901149
 43 11524 39 0.0033728271209893627
 44 11533 39 0.0033702039405461457
 45 11525 39 0.00337253545485991
 46 11534 39 0.003369912727901149
 47 11524 39 0.0033728271209893627
 48 11532 39 0.0033704952035260565
 49 11529 40 0.003457515774915723
 50 11537 41 0.0035411988253584385
 51 11534 41 0.0035421166306695466
 52 11542 41 0.003539670206336873
 53 11528 41 0.003543953669288616
 54 11541 42 0.003626003626003626
 55 11536 42 0.0036275695284159614
 56 11541 42 0.003626003626003626
 57 11531 42 0.0036291367838935454
 58 11536 42 0.0036275695284159614
 59 11525 42 0.0036310192789833144
 60 11534 43 0.0037142610348103997
 61 11522 43 0.0037181150021616946
 62 11531 43 0.0037152237774321756
 63 11519 44 0.0038052408544495373
 64 11525 44 0.0038032673524072956
 65 11514 44 0.003806887004672089
 66 11518 44 0.003805569970593323
 67 11509 44 0.003808534579762832
 68 11516 44 0.0038062283737024223
 69 11510 44 0.0038082049506664357
 70 11515 45 0.0038927335640138406
 71 11507 45 0.0038954293628808865
 72 11509 45 0.003894755063181582
 73 11497 45 0.0038988043666608905
 74 11500 45 0.0038977912516240795
 75 11490 45 0.0039011703511053317
 76 11497 46 0.003985099194316902
 77 11487 46 0.003988554582502384
 78 11491 47 0.004073496273184261
 79 11479 47 0.004077737289606108
 80 11490 47 0.004073849354251539
 81 11482 47 0.004076676207823749
 82 11487 47 0.004074908964799722
 83 11479 47 0.004077737289606108
 84 11480 47 0.004077383534310749
 85 11465 47 0.004082696316886727
 86 11468 47 0.004081632653061225
 87 11450 47 0.00408802296251196
 88 11453 47 0.00408695652173913
 89 11446 47 0.004089445749586705
 90 11451 47 0.0040876674204209425
 91 11446 47 0.004089445749586705
 92 11450 47 0.00408802296251196
 93 11440 47 0.004091581788108296
 94 11442 47 0.0040908695273740095
 95 11432 47 0.004094433313006359
 96 11438 47 0.004092294296909012
 97 11428 47 0.004095860566448802
 98 11430 47 0.00409514681536987
 99 11422 47 0.004098003313279274
 100 11430 47 0.00409514681536987
 101 11413 47 0.004101221640488656
 102 11416 47 0.0041001483032365
 103 11399 47 0.004106237987069719
 104 11401 47 0.004105520614954577
 105 11394 47 0.004108032514640329
 106 11398 47 0.004106596767147226
 107 11380 47 0.004113065546512646
 108 11386 47 0.004110907023528383
 109 11375 47 0.004114866047977587
 110 11375 48 0.0042020484986430885
 111 11362 48 0.004206836108676599
 112 11367 48 0.004204993429697766
 113 11361 48 0.004207204838285564
 114 11359 48 0.0042079424914526166
 115 11341 48 0.004214593028360699
 116 11344 48 0.004213483146067416
 117 11337 48 0.004216073781291172
 118 11340 48 0.004214963119072708
 119 11329 48 0.004219038410828865
 120 11327 49 0.0043073136427566805
 121 11314 49 0.004312241485523189
 122 11310 49 0.004313760014085747
 123 11298 49 0.00431832202344232
 124 11303 49 0.004316420014094433
 125 11287 49 0.004322512350035286
 126 11281 49 0.004324801412180053
 127 11273 50 0.004415790868144484
 128 11272 50 0.004416180886769122
 129 11261 51 0.004508486562942009
 130 11262 52 0.004596075658476224
 131 11248 52 0.004601769911504424
 132 11244 52 0.004603399433427762
 133 11229 52 0.004609520432585764
 134 11231 53 0.004696915987238568
 135 11216 53 0.004703167982962109
 136 11212 53 0.004704837993786063
 137 11197 53 0.004711111111111111
 138 11194 53 0.0047123677425091135
 139 11182 53 0.004717400979083222
 140 11182 54 0.004805980776076896
 141 11172 54 0.004810261892036344
 142 11172 54 0.004810261892036344
 143 11157 54 0.004816697886004816
 144 11148 54 0.0048205677557579
 145 11129 54 0.0048287579361530894
 146 11122 54 0.004831782390837509
