 "time" "normal population" "cancer population" "average motility" "average consumption rate" "average cancer motility" "average cancer consumption rate"patch_inflammation:0.5
 86 25435 0 -3.11188914604927E-4 1.0051052539741336 0 0
 87 25819 0 -3.2853129075212503E-4 1.0051437656207434 0 0
 88 25935 0 -3.5474719131187453E-4 1.00517575271637 0 0
 89 26346 0 -3.0509714128172986E-4 1.0052272153209962 0 0
 90 26472 0 -2.694062427396477E-4 1.005455081270543 0 0
 91 26868 0 -2.6401757282789635E-4 1.0053760936354523 0 0
 92 26993 0 -2.679922347473188E-4 1.0055756337863668 0 0
 93 27420 0 -2.789344654043049E-4 1.0057105633811978 0 0
 94 27565 0 -2.7392876841620664E-4 1.0058356672883126 0 0
 95 27963 0 -1.3181748394138707E-4 1.0060740954626624 0 0
 96 28085 0 -1.9564022552305291E-4 1.0062574587818232 0 0
 97 28454 0 -1.9163095726839124E-4 1.0063231597862392 0 0
 98 28592 0 -1.7176152421304757E-4 1.0064939047322103 0 0
 99 29009 0 -5.841284331831889E-5 1.006677483366519 0 0
 100 29133 0 2.6160983939040552E-5 1.0068165637103392 0 0
 101 29481 0 1.3365631081159983E-4 1.006838561601444 0 0
 102 29623 0 1.5869097289615433E-4 1.0070065823345304 0 0
 103 29900 0 2.1905821333361174E-4 1.007187580244861 0 0
 104 30030 0 2.3407812310901994E-4 1.0073561556491173 0 0
 105 30297 0 1.7703095658877852E-4 1.007332794026232 0 0
 106 30422 0 1.926561166273137E-4 1.0075146414435354 0 0
 107 30678 0 1.5315655102568566E-4 1.0075560915528916 0 0
 108 30816 0 2.4574045680926136E-4 1.0077398176392518 0 0
 109 31079 0 2.3246395003703664E-4 1.0078190692594065 0 0
 110 31182 0 1.800904131510059E-4 1.0079219808800748 0 0
 111 31423 0 1.8891047165183752E-4 1.0080852002688259 0 0
 112 31526 0 2.243794350351798E-4 1.0081211885530945 0 0
 113 31750 0 2.270859397772487E-4 1.0082735679915324 0 0
 114 31880 0 2.155151611347207E-4 1.008363770002002 0 0
 115 32116 0 2.755831102403146E-4 1.0084618115754567 0 0
 116 32227 0 3.174542869733884E-4 1.0085723477816384 0 0
 117 32422 0 3.0409756699097416E-4 1.008628093232378 0 0
 118 32543 0 3.264217934693948E-4 1.00881065394874 0 0
 119 32726 0 3.226441085702181E-4 1.0089963132690978 0 0
 120 32856 0 3.1649116775815607E-4 1.0091140354264776 0 0
 121 33055 0 2.3654382202584597E-4 1.0092578351308485 0 0
 122 33148 0 2.4121182196640276E-4 1.009399753688699 0 0
 123 33306 0 2.180843148793727E-4 1.0095802657071589 0 0
 124 33393 0 2.7196919233270006E-4 1.0096181977595975 0 0
 125 33527 0 2.757483070926663E-4 1.0097209495873636 0 0
 126 33635 0 2.2520253963353678E-4 1.0097297169125148 0 0
 127 33794 0 2.620308533451416E-4 1.0098266229028476 0 0
 128 33880 0 2.8666138509384246E-4 1.009907413190559 0 0
 129 34022 0 2.3036217126203712E-4 1.0099991811963118 0 0
 130 34105 0 2.0274904807329847E-4 1.010071861717535 0 0
 131 34247 0 1.8836707016433067E-4 1.010066640759219 0 0
 132 34329 0 2.3232975614976897E-4 1.0101683710932974 0 0
 133 34470 0 2.458495108238995E-4 1.0102749807923548 0 0
 134 34546 0 2.497271268392435E-4 1.0103083517922697 0 0
 135 34660 0 2.4789670032074394E-4 1.010401010826778 0 0
 136 34743 0 2.445882836758862E-4 1.0104808363404278 0 0
 137 34840 0 2.5076011473703307E-4 1.010531000166407 0 0
 138 34909 0 2.0837413063064545E-4 1.0105893380367181 0 0
 139 35011 0 2.0395353759646386E-4 1.010669564584017 0 0
