 "time" "normal population" "cancer population" "average motility" "average consumption rate" "average cancer motility" "average cancer consumption rate"patch_inflammation:0
 130 11285 0 4.622379567570627E-5 1.0006324365675214 0 0
 131 11282 0 5.856843549288261E-5 1.0006357821884744 0 0
 132 11273 0 5.2923712651807874E-5 1.000690033427142 0 0
 133 11263 0 4.270364675218615E-5 1.0007302139616012 0 0
 134 11250 0 5.505045862894827E-5 1.0007993688341197 0 0
 135 11239 0 6.582819872674996E-5 1.000842915534644 0 0
 136 11238 0 9.070512545257385E-5 1.0009081470304884 0 0
 137 11226 0 7.038925967683367E-5 1.0009320428094066 0 0
 138 11220 0 9.827984672267281E-5 1.0009689347858068 0 0
 139 11209 0 1.0842434621073345E-4 1.0010216931424283 0 0
 140 11199 0 3.0617664984916147E-5 1.0010397272036335 0 0
 141 11188 0 6.362207526822077E-5 1.0010661888928678 0 0
 142 11184 0 -3.506641463767182E-6 1.0011436619775818 0 0
 143 11165 0 -8.284492947220353E-5 1.0012278728875579 0 0
 144 11155 0 -9.02751314189518E-5 1.0012808401283197 0 0
 145 11140 0 -4.459083289702052E-5 1.0013363034777332 0 0
 146 11132 0 -1.7458470687313437E-5 1.001332357602006 0 0
 147 11121 0 -1.488464469208152E-5 1.0013443873284549 0 0
 148 11115 0 -1.523353612887701E-6 1.0013261387507977 0 0
 149 11104 0 -7.692766759504853E-5 1.0013599522677732 0 0
 150 11094 0 -7.897668288880918E-5 1.0013797059640035 0 0
 151 11082 0 -8.705697499994558E-5 1.0014177809735099 0 0
 152 11073 0 -1.0735444359795455E-4 1.0014301097277285 0 0
 153 11058 0 -8.665208963886063E-5 1.0014257697490931 0 0
 154 11049 0 -7.741972605431014E-5 1.001422061871754 0 0
 155 11035 0 -1.0784154597846222E-4 1.001459524072516 0 0
 156 11025 0 -1.0842616722959032E-4 1.0015552718265475 0 0
 157 11014 0 -7.595551768876475E-5 1.0015993168993682 0 0
 158 11007 0 -8.209084337620668E-5 1.0016164048831038 0 0
 159 10994 0 -9.189942263416736E-5 1.0016234759029707 0 0
 160 10983 0 -6.946497620431814E-5 1.0016284845044856 0 0
 161 10968 0 -9.971497596354937E-5 1.0016472981958944 0 0
 162 10956 0 -1.1152607359583453E-4 1.00174518204679 0 0
 163 10950 0 -9.687451142233174E-5 1.0017388437129018 0 0
 164 10936 0 -1.0350967402866139E-4 1.0018264097294007 0 0
 165 10924 0 -1.2520288532767923E-4 1.0018729967767137 0 0
 166 10914 0 -8.150309955441717E-5 1.0019609625817936 0 0
 167 10900 0 -1.2722060531721496E-4 1.0019810656022745 0 0
 168 10886 0 -1.228532064769675E-4 1.0019773199255455 0 0
 169 10879 0 -9.849620568038666E-5 1.0020339777102047 0 0
 170 10871 0 -1.11916305705001E-4 1.0020422845722288 0 0
 171 10865 0 -4.531040824703317E-5 1.0020526553002644 0 0
 172 10850 0 -5.0079173681811527E-5 1.002127543933955 0 0
 173 10844 0 -9.623771060854242E-5 1.002158792009855 0 0
 174 10833 0 -8.575351377470445E-5 1.0021809114142253 0 0
 175 10813 0 -9.802943436481679E-5 1.0022326757703122 0 0
 176 10798 0 -1.2044570279792522E-4 1.0022832941052702 0 0
 177 10791 0 -1.3411432567810643E-4 1.0022814388419514 0 0
 178 10774 0 -1.4107469276450886E-4 1.0023867312011583 0 0
 179 10770 0 -1.2772968102132284E-4 1.002405800667145 0 0
 180 10760 0 -1.2792819203694478E-4 1.0024284214808437 0 0
 181 10755 0 -1.1749223429165883E-4 1.0024355630010262 0 0
 182 10746 0 -1.4818121224294275E-4 1.0024767867614912 0 0
 183 10733 0 -1.8978587905401587E-4 1.002519538145499 0 0
 184 10725 0 -1.8890043770407517E-4 1.002627769914029 0 0
 185 10714 0 -1.8879910701755556E-4 1.0026624055699678 0 0
 186 10703 0 -1.9735068457164224E-4 1.0026672383344313 0 0
 187 10686 0 -2.564690548208114E-4 1.0027359353514018 0 0
 188 10680 0 -2.555687890813283E-4 1.0027638724897843 0 0
 189 10665 0 -2.6668119818223387E-4 1.0027970775221131 0 0
 190 10661 0 -2.906149647704756E-4 1.0028117631375246 0 0
 191 10644 0 -2.7384914528496846E-4 1.0028607276986892 0 0
 192 10630 0 -3.181562014222848E-4 1.0028916602624571 0 0
 193 10621 0 -3.3328644405718964E-4 1.0029084802579582 0 0
 194 10609 0 -3.4227008756952464E-4 1.0029298599565446 0 0
 195 10606 0 -3.8142918751561504E-4 1.0029568009602619 0 0
 196 10598 0 -3.6387289906075044E-4 1.0029411232900922 0 0
 197 10582 0 -4.207591038067756E-4 1.0029925250583185 0 0
 198 10577 0 -3.9183558036204156E-4 1.0030301017436272 0 0
 199 10564 0 -4.067250019203296E-4 1.0030678876900527 0 0
 200 10555 0 -4.6935973961756747E-4 1.0031211501485853 0 0
 201 10544 0 -4.625097950235594E-4 1.003157455690037 0 0
 202 10543 0 -4.3532457856539916E-4 1.003172528999318 0 0
 203 10529 0 -4.572353926026148E-4 1.0031994057287694 0 0
 204 10512 0 -4.081018597634674E-4 1.0032560078498782 0 0
 205 10510 0 -3.8113273254430474E-4 1.0032526274804445 0 0
 206 10505 0 -3.6286198138773276E-4 1.0032729823411755 0 0
 207 10505 0 -3.801154195157538E-4 1.0032546245210123 0 0
 208 10498 0 -3.9681789255330117E-4 1.003269547586239 0 0
 209 10488 0 -3.83647689118438E-4 1.0033008392012348 0 0
 210 10483 0 -4.4150359889007646E-4 1.0033116954521586 0 0
 211 10476 0 -4.356464975008944E-4 1.0033398432135046 0 0
 212 10471 0 -4.1739563743665303E-4 1.0034047375056985 0 0
 213 10465 0 -4.0529980634186375E-4 1.0034550017694872 0 0
 214 10462 0 -4.4405029271569395E-4 1.0034864214218782 0 0
 215 10449 0 -4.653802043049904E-4 1.0035035172381004 0 0
 216 10438 0 -4.4140184941092876E-4 1.003542626188108 0 0
 217 10431 0 -4.878597294820751E-4 1.0035109475453403 0 0
 218 10430 0 -4.214857192467882E-4 1.0035073113359834 0 0
 219 10419 0 -4.348728865594128E-4 1.0035252252519 0 0
 220 10417 0 -5.17496982522506E-4 1.0035003345631248 0 0
 221 10408 0 -4.578624623792563E-4 1.0035114709966195 0 0
 222 10402 0 -5.305749711935782E-4 1.0035294066832736 0 0
 223 10393 0 -5.35029665123515E-4 1.003570072311021 0 0
 224 10382 0 -5.325969238037935E-4 1.0036467322804874 0 0
 225 10372 0 -5.291929025187284E-4 1.0036459347765445 0 0
 226 10367 0 -5.948290827620027E-4 1.0036498442719677 0 0
 227 10357 0 -6.003327715155642E-4 1.0037010892973954 0 0
 228 10350 0 -5.586542391779663E-4 1.0037134182334806 0 0
 229 10347 0 -5.784747167026621E-4 1.003685485311697 0 0
 230 10343 0 -5.667768923241927E-4 1.0036565382639595 0 0
 231 10332 0 -5.919286649397167E-4 1.0036553954587513 0 0
 232 10332 0 -6.199736491954695E-4 1.0036964489027653 0 0
 233 10329 0 -5.766477503183872E-4 1.0037442893852808 0 0
 234 10327 0 -6.380954203136762E-4 1.0037442811166062 0 0
 235 10322 0 -6.300315506383771E-4 1.0037438884312624 0 0
 236 10312 0 -6.369301211501648E-4 1.0037458161975734 0 0
 237 10301 0 -6.779395259875145E-4 1.0037511470689464 0 0
 238 10301 0 -7.114746969054E-4 1.0037870162361384 0 0
 239 10294 0 -7.221949499901712E-4 1.0038024578306288 0 0
 240 10289 0 -7.381351797926771E-4 1.003844652680633 0 0
 241 10283 0 -8.1370024817525E-4 1.0038138337993485 0 0
 242 10277 0 -8.289814715814259E-4 1.003827611133626 0 0
 243 10272 0 -8.87408259860065E-4 1.0037929980856632 0 0
 244 10269 0 -8.777711456535988E-4 1.0038000662267423 0 0
 245 10267 0 -9.183477222195307E-4 1.0037971538593828 0 0
 246 10262 0 -9.217909892871632E-4 1.0038451092586318 0 0
 247 10254 0 -9.645126278993005E-4 1.0038922196957136 0 0
 248 10255 0 -9.440565121849534E-4 1.0038981303302128 0 0
 249 10249 0 -9.63062423281277E-4 1.0038998050011343 0 0
 250 10244 0 -0.0010028704523591526 1.0039158127354628 0 0
 251 10241 0 -0.0010387756386393426 1.0039785514196609 0 0
 252 10239 0 -0.0010307012159617604 1.0039990795853557 0 0
 253 10231 0 -0.0010481090303625182 1.0040492277572455 0 0
 254 10228 0 -9.8005209613218E-4 1.0040342106140636 0 0
 255 10224 0 -9.540920029753395E-4 1.0040380951903758 0 0
 256 10222 0 -9.583153170850115E-4 1.0040129377499674 0 0
 257 10214 0 -9.42934587758527E-4 1.0039931827995652 0 0
 258 10209 0 -9.909643935229252E-4 1.004006455160706 0 0
 259 10204 0 -9.806836426016164E-4 1.0040035059191201 0 0
 260 10191 0 -0.0010163817181426456 1.0040414686789074 0 0
 261 10195 0 -0.0010031371710688488 1.0040367229520444 0 0
 262 10187 0 -0.0010819307326359038 1.0040618213498052 0 0
 263 10190 0 -0.0010685414929946463 1.0040577700735003 0 0
 264 10184 0 -0.0010556161281526611 1.0040634656885519 0 0
 265 10178 0 -0.001061287326451405 1.0040476281618615 0 0
 266 10181 0 -0.0010766551633852918 1.0040506011047576 0 0
 267 10182 0 -0.001098656548958444 1.0040738387399843 0 0
 268 10178 0 -0.001151803769463961 1.0041246374777926 0 0
 269 10172 0 -0.0012112404735913239 1.0041404797832099 0 0
 270 10174 0 -0.001303546754426385 1.0041290295221597 0 0
 271 10171 0 -0.0013061340610561406 1.0041391274110818 0 0
 272 10174 0 -0.0013483272319400304 1.0040757997740357 0 0
 273 10174 0 -0.0013791098439399775 1.0040438954457116 0 0
 274 10170 0 -0.0013698356276347406 1.0040226604317133 0 0
 275 10162 0 -0.0013945455167584824 1.0040020682143398 0 0
 276 10158 0 -0.0013961336220577243 1.004048335620667 0 0
 277 10158 0 -0.0014523970698411932 1.0040202876721906 0 0
 278 10165 0 -0.0014528376865781795 1.0040717769977197 0 0
 279 10162 0 -0.00146006220595226 1.0041066336192053 0 0
 280 10159 0 -0.0014625595306998877 1.0041180955565951 0 0
 281 10154 0 -0.0014462337949627086 1.0041642076538122 0 0
 282 10159 0 -0.0014886048876736268 1.0041871082247567 0 0
 283 10158 0 -0.0015078421723848023 1.0042163830369073 0 0
 284 10163 0 -0.0014804609562996465 1.0042254742876193 0 0
 285 10159 0 -0.0014848404533066054 1.0042336758234724 0 0
 286 10157 0 -0.0015158013409911793 1.0042027353102778 0 0
 287 10156 0 -0.0015272635459959159 1.0042167076081945 0 0
 288 10150 0 -0.0015955270077433257 1.0042175791464756 0 0
 289 10144 0 -0.001654831837515111 1.0042358563014204 0 0
 290 10138 0 -0.0016741340759110956 1.0042126692193287 0 0
 291 10135 0 -0.0017022415505822755 1.0042206105823515 0 0
 292 10137 0 -0.0018016770215578501 1.0041912936061597 0 0
 293 10136 0 -0.0018263498339766125 1.0042224734224652 0 0
 294 10136 0 -0.0018618282086065902 1.0042923834960136 0 0
 295 10142 0 -0.0018263508572874682 1.0042491142165617 0 0
 296 10143 0 -0.0018137803409334972 1.0042444594868394 0 0
 297 10145 0 -0.0018014219161446641 1.0042181537477735 0 0
 298 10150 0 -0.0018447476807742216 1.004192218623406 0 0
 299 10146 0 -0.0019031345261143221 1.0042176702074428 0 0
 300 10142 0 -0.0018741148759363027 1.0042608063656413 0 0
 301 10142 0 -0.0019014271216227325 1.0042747632409794 0 0
 302 10138 0 -0.0019031552042791328 1.0042632542501917 0 0
 303 10132 0 -0.0019296851473659634 1.0042509389815149 0 0
 304 10127 0 -0.0019379736667537132 1.0042799430113751 0 0
 305 10122 0 -0.0019230081678683305 1.0043436434855642 0 0
 306 10122 0 -0.0018816667561532758 1.0043136041068832 0 0
 307 10122 0 -0.0018938485481148316 1.0043259576884624 0 0
 308 10116 0 -0.001916323679743082 1.0043529225917163 0 0
 309 10115 0 -0.0019179196910647965 1.0043348119109263 0 0
 310 10106 0 -0.0019257157668464767 1.0043542269298935 0 0
 311 10104 0 -0.0019194461861940359 1.0043571383045546 0 0
 312 10106 0 -0.0018956027595425202 1.00440613687842 0 0
 313 10106 0 -0.0019144104281956374 1.0045204717992977 0 0
 314 10106 0 -0.0019560103292031376 1.0045477200949868 0 0
 315 10101 0 -0.0019517202452194633 1.0045688299991498 0 0
 316 10100 0 -0.001960695695175791 1.0045938660919251 0 0
 317 10096 0 -0.001997747384601034 1.0046262283667893 0 0
 318 10105 0 -0.0020619919539152792 1.0046824448845446 0 0
 319 10111 0 -0.002082388382805804 1.004689742077488 0 0
 320 10114 0 -0.0021591048774214764 1.0047412929656578 0 0
 321 10107 0 -0.002236767636133134 1.0047764394259515 0 0
 322 10103 0 -0.0022661042329620807 1.0047238003871675 0 0
 323 10103 0 -0.0022711516134523995 1.0047303563574062 0 0
 324 10105 0 -0.002264538970516886 1.0047155605581037 0 0
 325 10107 0 -0.0022540392916624062 1.00470862688729 0 0
 326 10106 0 -0.0022408783464314924 1.004749411485032 0 0
 327 10104 0 -0.0022896769060820592 1.0047657384765063 0 0
 328 10111 0 -0.0022749141681968187 1.0048134073454125 0 0
 329 10108 0 -0.0022740429949699736 1.0048382031995986 0 0
 330 10108 0 -0.0023814821555451925 1.0048346468387426 0 0
 331 10111 0 -0.0023620496460193276 1.0048424093144848 0 0
 332 10110 0 -0.0023875618383759757 1.0048914860281994 0 0
