 "time" "normal population" "cancer population" "average motility" "average consumption rate" "average cancer motility" "average cancer consumption rate"patch_inflammation:0.4
 1 10394 0 0 1 0 0
 2 10394 0 0 1 0 0
 3 10580 0 -1.671650567605743E-4 1.0000570337591517 0 0
 4 10582 0 -1.3062429104502863E-4 1.0000574334774461 0 0
 5 10783 0 -1.3183092582874108E-4 1.0003701428286713 0 0
 6 10791 0 -1.3262413957673214E-4 1.000343921290033 0 0
 7 10984 0 -2.1073994541585648E-4 1.0004242356079331 0 0
 8 10995 0 -2.3581648553442863E-4 1.0003995428944221 0 0
 9 11184 0 -1.0937737519782976E-4 1.0002710974548874 0 0
 10 11201 0 -1.2430874076218526E-4 1.0002485365223428 0 0
 11 11388 0 -1.9489640250439853E-4 1.000312398864531 0 0
 12 11396 0 -2.0216854160217055E-4 1.0003046709497447 0 0
 13 11599 0 -1.1295835439147778E-4 1.000645111028671 0 0
 14 11620 0 -9.153420793159999E-5 1.0006746601532972 0 0
 15 11809 0 -2.513041818526988E-4 1.0004892709766087 0 0
 16 11829 0 -2.7854993553328014E-4 1.0004494295036466 0 0
 17 12020 0 -4.744889168527664E-5 1.0005426047452561 0 0
 18 12037 0 7.707667289808387E-7 1.0005401560178293 0 0
 19 12221 0 4.872463843731367E-5 1.0004699628694596 0 0
 20 12248 0 4.2083416254110224E-5 1.00049889447168 0 0
 21 12434 0 3.5250353857141733E-4 1.000351685970459 0 0
 22 12453 0 3.5885483681109956E-4 1.0003764545475635 0 0
 23 12615 0 5.836258126239446E-4 1.000581623338643 0 0
 24 12640 0 5.610648027327124E-4 1.0005621757234604 0 0
 25 12830 0 3.2419057407002895E-4 1.0006103693283115 0 0
 26 12851 0 2.951554638819745E-4 1.000629118823759 0 0
 27 13030 0 2.444783567133263E-4 1.0007322046813532 0 0
 28 13052 0 1.7475072882378306E-4 1.0006747976536705 0 0
 29 13237 0 2.1699061894193386E-4 1.0007937605769655 0 0
 30 13259 0 2.611677362030753E-4 1.0007419930203971 0 0
 31 13453 0 1.5011414539724282E-4 1.0006685318202546 0 0
 32 13473 0 1.8507051428649166E-4 1.0006282714059123 0 0
 33 13688 0 3.18197024743968E-4 1.000663480843126 0 0
 34 13707 0 3.545413534094124E-4 1.0006704622533056 0 0
 35 13889 0 5.688348262850948E-4 1.0004189987435383 0 0
 36 13905 0 5.687486550185765E-4 1.0004154132745058 0 0
 37 14088 0 5.247448790219314E-4 1.0005287098674684 0 0
 38 14119 0 4.807130921328417E-4 1.0006138546560557 0 0
 39 14305 0 5.145066919538235E-4 1.0005285821929226 0 0
 40 14327 0 5.086934888243632E-4 1.000608764532796 0 0
 41 14532 0 5.193868036017256E-4 1.000552404003209 0 0
 42 14557 0 4.963655235762696E-4 1.0005967841163952 0 0
 43 14753 0 5.85828486136931E-4 1.000706457368726 0 0
 44 14799 0 5.147346253654896E-4 1.0008516715432658 0 0
 45 14973 0 4.585367251238332E-4 1.0008332052731383 0 0
 46 15005 0 5.156254499977988E-4 1.0009277017639098 0 0
 47 15201 0 4.5136247293005836E-4 1.001356616682481 0 0
 48 15241 0 4.776878013120671E-4 1.0015511246991935 0 0
 49 15495 0 4.912459496136502E-4 1.002018096330533 0 0
 50 15550 0 5.073903702264644E-4 1.0022534803413075 0 0
 51 15760 0 3.383733356450185E-4 1.0024114984090784 0 0
 52 15836 0 1.904480120993149E-4 1.0026598439437826 0 0
 53 16142 0 8.640571123736079E-5 1.0026312403565099 0 0
 54 16215 0 1.0762782999121492E-4 1.0028601815452287 0 0
 55 16562 0 4.1276914918975255E-6 1.002937965524308 0 0
 56 16629 0 1.307634631896342E-4 1.0030823043426402 0 0
 57 16988 0 3.6862416693100164E-4 1.003446734466813 0 0
 58 17076 0 4.0421395472160733E-4 1.0035109403287457 0 0
 59 17441 0 4.547935069814364E-4 1.003818358460916 0 0
 60 17551 0 5.001459770652085E-4 1.0040112825062995 0 0
 61 17944 0 5.06873253766479E-4 1.0042257097003866 0 0
 62 18061 0 5.347275788872518E-4 1.0043136525276428 0 0
 63 18439 0 5.173209329094717E-4 1.0045136738137554 0 0
 64 18549 0 4.940925816493219E-4 1.0046547765652145 0 0
 65 18934 0 6.201210882419494E-4 1.0049892307282753 0 0
 66 19040 0 7.468857112890525E-4 1.005076317020901 0 0
 67 19415 0 7.790135602545088E-4 1.0051518165968512 0 0
 68 19558 0 6.660160827585865E-4 1.0052786423354083 0 0
 69 19909 0 6.830151154266429E-4 1.0053379945060785 0 0
 70 20031 0 6.551481375099785E-4 1.005445326927007 0 0
 71 20388 0 7.043616856911402E-4 1.005468698428354 0 0
 72 20494 0 6.607539052375101E-4 1.0056131262196564 0 0
 73 20811 0 6.686310120003157E-4 1.0056068153109199 0 0
 74 20935 0 7.23578302526987E-4 1.0058581384786642 0 0
 75 21273 0 7.146946496686892E-4 1.0058347495690898 0 0
 76 21406 0 7.019430065290223E-4 1.0060566539849254 0 0
 77 21724 0 7.439043081669826E-4 1.0060113775940125 0 0
 78 21843 0 7.776515233789383E-4 1.006150919773359 0 0
 79 22163 0 7.769960338391292E-4 1.0063485618821217 0 0
 80 22259 0 6.584530982309046E-4 1.0064395471453962 0 0
 81 22614 0 6.12568561325345E-4 1.0063470887448924 0 0
 82 22740 0 6.159651479872219E-4 1.006286018937213 0 0
 83 23061 0 7.199085140067722E-4 1.006216737783881 0 0
 84 23163 0 7.763059034711342E-4 1.0063367422417238 0 0
 85 23494 0 7.286860829059195E-4 1.0063699129286623 0 0
 86 23603 0 7.240216183476755E-4 1.0063975961775884 0 0
 87 23853 0 6.438221208917128E-4 1.0063744514479018 0 0
 88 23964 0 6.352849996672966E-4 1.0064420199323643 0 0
 89 24247 0 6.700913269235868E-4 1.0065786960224776 0 0
 90 24362 0 6.315278916456424E-4 1.0066696523049192 0 0
 91 24626 0 6.908084097727937E-4 1.00663973990889 0 0
 92 24748 0 6.283606817982345E-4 1.0067249313301379 0 0
 93 24992 0 6.632032078252721E-4 1.0066222477726967 0 0
 94 25091 0 6.962512208311856E-4 1.0068097716421553 0 0
 95 25322 0 6.161563244493455E-4 1.006840024881862 0 0
 96 25419 0 6.916435140151938E-4 1.0069186406716226 0 0
 97 25634 0 6.739669591735527E-4 1.0069979166946992 0 0
 98 25723 0 7.154920635834781E-4 1.007065853861525 0 0
 99 25949 0 6.746587008618707E-4 1.0071990248700393 0 0
 100 26041 0 6.231165043787602E-4 1.0073111973625863 0 0
 101 26261 0 6.823174528991688E-4 1.0073617539138355 0 0
 102 26347 0 6.746663314406042E-4 1.0074281881372766 0 0
 103 26472 0 6.974855235007607E-4 1.0075846364391117 0 0
 104 26558 0 6.939787863178981E-4 1.0076200671768676 0 0
 105 26701 0 6.867614051742865E-4 1.0076666126014426 0 0
 106 26779 0 6.458776435714363E-4 1.0077355242915917 0 0
 107 26885 0 6.730913153521366E-4 1.0077593532964568 0 0
 108 26950 0 6.490999910656158E-4 1.0078526154306668 0 0
 109 27079 0 6.616845891339207E-4 1.007994838806067 0 0
 110 27162 0 6.408595308020138E-4 1.0080635455299285 0 0
 111 27267 0 6.575673320714091E-4 1.0081348081531325 0 0
 112 27357 0 6.710414463525332E-4 1.0082056045467915 0 0
 113 27456 0 6.656026211154087E-4 1.008303103137067 0 0
 114 27541 0 6.889665126618415E-4 1.0084197613899455 0 0
 115 27661 0 6.80456512669172E-4 1.0084401658723294 0 0
 116 27729 0 6.899380816595563E-4 1.0084802086695042 0 0
 117 27843 0 6.129032841270198E-4 1.008571377307356 0 0
 118 27917 0 6.037039719310954E-4 1.0085705661688442 0 0
 119 28005 0 6.061421153077828E-4 1.0085980914423551 0 0
 120 28087 0 5.455462599958648E-4 1.0086803499507682 0 0
 121 28183 0 5.394761984663276E-4 1.0088019905862846 0 0
 122 28250 0 5.564282982207464E-4 1.0088251674313695 0 0
 123 28344 0 5.221347128458118E-4 1.0088522423732067 0 0
 124 28412 0 4.4942246088771243E-4 1.00892552524312 0 0
 125 28494 0 4.6095457459817337E-4 1.0089899388983654 0 0
 126 28557 0 4.892495749499136E-4 1.0090736901856756 0 0
 127 28640 0 5.171177538539451E-4 1.0091714376295757 0 0
 128 28699 0 4.8600757400778157E-4 1.0092464750787107 0 0
 129 28770 0 4.979569220929848E-4 1.009297079500452 0 0
 130 28827 0 4.759724610468914E-4 1.0093466671502456 0 0
 131 28899 0 4.266795166271263E-4 1.0094030478739702 0 0
 132 28953 0 4.5926694970699025E-4 1.0095234116978622 0 0
 133 29016 0 4.447319903777289E-4 1.0095868686137637 0 0
 134 29081 0 4.270965843710878E-4 1.0096286403653072 0 0
 135 29164 0 3.9414090157887955E-4 1.0096968972651474 0 0
 136 29217 0 4.316146710351234E-4 1.00975687940912 0 0
