 "time" "normal population" "cancer population" "average motility" "average consumption rate" "average cancer motility" "average cancer consumption rate"patch_inflammation:0.1
 1 10395 0 0 1 0 0
 2 10395 0 0 1 0 0
 3 10579 0 1.0274375696085399E-4 0.9999177070348685 0 0
 4 10579 0 1.0274375696085397E-4 0.9999177070348686 0 0
 5 10735 0 1.8297140667003685E-4 1.0001025048084282 0 0
 6 10743 0 1.7546726213237595E-4 1.0001078880089438 0 0
 7 10895 0 9.765571932668452E-5 1.0001203193656014 0 0
 8 10901 0 1.3510217331253455E-4 1.0000908810119384 0 0
 9 11073 0 3.491535379199955E-4 1.0001767399206807 0 0
 10 11086 0 3.791639408241669E-4 1.0001689430564973 0 0
 11 11222 0 2.675918084171374E-4 1.0001351055688479 0 0
 12 11227 0 2.949995306257562E-4 1.0001099850941364 0 0
 13 11339 0 3.361477378897708E-5 0.9998538682121302 0 0
 14 11352 0 1.0604837278999671E-5 0.99988228858306 0 0
 15 11473 0 1.0730220128428749E-4 0.999921388705332 0 0
 16 11497 0 9.187180680090962E-5 0.9999272338433887 0 0
 17 11594 0 1.2884129188876694E-4 0.9998755146700895 0 0
 18 11618 0 1.7036783491039748E-4 0.9997896348056534 0 0
 19 11715 0 2.7928780277279943E-4 0.9998081901850586 0 0
 20 11726 0 2.697198712000676E-4 0.9997746284773518 0 0
 21 11815 0 2.610981654084109E-4 0.9998016215639141 0 0
 22 11835 0 2.4519817054554944E-4 0.9997626007313622 0 0
 23 11913 0 1.9981197938854725E-4 0.9997453024102465 0 0
 24 11934 0 2.0990353431431344E-4 0.9997560374586496 0 0
 25 11999 0 2.7110561369880163E-4 0.9996353683080159 0 0
 26 12018 0 2.5712081069353173E-4 0.9996431877899226 0 0
 27 12086 0 1.9247789700374676E-4 0.9995390223742728 0 0
 28 12107 0 2.098414603931409E-4 0.9995335749687232 0 0
 29 12174 0 3.191684861167669E-4 0.9994738607904239 0 0
 30 12209 0 3.1618119750822886E-4 0.9994890008025455 0 0
 31 12253 0 3.129990292912646E-4 0.9994745305750925 0 0
 32 12275 0 2.958216473380186E-4 0.9994762764343746 0 0
 33 12319 0 2.600774508145257E-4 0.999527934608037 0 0
 34 12360 0 2.82031197791298E-4 0.999557997336423 0 0
 35 12410 0 2.302263172423588E-4 0.999609090825446 0 0
 36 12438 0 2.777013622356493E-4 0.9996559933638495 0 0
 37 12486 0 2.6973876958388365E-4 0.9996266031640115 0 0
 38 12507 0 2.7418361585820753E-4 0.9996839877800279 0 0
 39 12559 0 2.6976629205584197E-4 0.9997257953201416 0 0
 40 12582 0 2.0528058988938532E-4 0.9997066431954411 0 0
 41 12621 0 2.077297453593149E-4 0.9996624688838801 0 0
 42 12654 0 2.442432382874639E-4 0.9995726067955538 0 0
 43 12688 0 2.2750513525413306E-4 0.9995236232042771 0 0
 44 12715 0 2.3279126284875024E-4 0.9994960480203651 0 0
 45 12747 0 1.6889335606325428E-4 0.9995069362900145 0 0
 46 12771 0 1.3141652864779143E-4 0.9995210651658061 0 0
 47 12816 0 1.279529689662199E-4 0.9995181295215749 0 0
 48 12835 0 1.1481100622420324E-4 0.9995828744714448 0 0
 49 12874 0 1.4497567885518773E-4 0.9996061676064306 0 0
 50 12902 0 2.2252440426376595E-4 0.9996608140207653 0 0
 51 12944 0 1.8881061894008183E-4 0.9996248791642798 0 0
 52 12978 0 2.4301873745129253E-4 0.9996874173464635 0 0
 53 13012 0 2.1861619993469026E-4 0.9997612364531862 0 0
 54 13038 0 1.4662102429494986E-4 0.9998171426785946 0 0
 55 13079 0 1.770795906001198E-4 0.9997983251723599 0 0
 56 13110 0 1.9751693391529236E-4 0.9997471136960268 0 0
 57 13142 0 2.079580207816158E-4 0.9996839275175643 0 0
 58 13162 0 1.798172735052442E-4 0.9996583859881292 0 0
 59 13198 0 1.8901576270271176E-4 0.9997387433930999 0 0
 60 13226 0 1.6686936927218148E-4 0.999693220096073 0 0
 61 13268 0 1.4800989130541364E-4 0.9995990863688275 0 0
 62 13305 0 1.502582090262625E-4 0.9996393615991487 0 0
 63 13332 0 2.1503499648398437E-4 0.9996723446351137 0 0
 64 13357 0 1.8616671995518835E-4 0.9997126698535677 0 0
 65 13385 0 1.6757627682557392E-4 0.9996533626160358 0 0
 66 13401 0 1.1036242752634779E-4 0.9996344253838063 0 0
 67 13427 0 1.21457944066476E-4 0.9996662078657177 0 0
 68 13456 0 1.438875644942816E-4 0.9996403555158493 0 0
 69 13484 0 1.594320611373803E-4 0.9996833930379886 0 0
 70 13504 0 1.608220941427707E-4 0.9996957344254093 0 0
 71 13534 0 2.095409746166737E-4 0.9996804108795628 0 0
 72 13555 0 1.7605778319341732E-4 0.9996674899172022 0 0
 73 13589 0 2.2424709022922395E-4 0.9997096490769248 0 0
 74 13613 0 1.5454440370508236E-4 0.9996849225169445 0 0
 75 13648 0 1.265556314100503E-4 0.999685589438406 0 0
 76 13666 0 6.386600781185463E-5 0.9997179103495087 0 0
 77 13694 0 4.945631886799806E-5 0.999708036832192 0 0
 78 13711 0 8.999796909707926E-5 0.9997008273804661 0 0
 79 13737 0 1.531784594115818E-4 0.9997363668832604 0 0
 80 13758 0 1.614359649783258E-4 0.9997683042958083 0 0
 81 13790 0 1.0998462999969939E-4 0.9998150948509955 0 0
 82 13819 0 5.3128733440707626E-5 0.9997592007093841 0 0
 83 13849 0 3.195170197803876E-5 0.9997736194596308 0 0
 84 13863 0 3.1878465843428653E-5 0.9997939136941162 0 0
 85 13894 0 4.484378301541636E-5 0.9998257871126102 0 0
 86 13913 0 6.107849155270272E-5 0.9998465057903076 0 0
 87 13937 0 7.725340104169863E-5 0.9998643283531667 0 0
